filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
o_1.mp3,0.374645948,0.069043271,1414.225043,1512.678968,2772.976685,0.080610003,-327.3676758,130.3464813,-16.82921982,6.632059574,-16.02630043,-9.821775436,1.410601258,-12.1713438,-16.96150589,-7.213680744,-7.319343567,9.300787926,0.943626702,-12.28437614,-13.68080139,-12.58762264,-5.877261639,-12.45758057,-15.91197109,-5.620371342,o
o_2.mp3,0.348134309,0.032588903,1729.142639,1709.129433,3412.294922,0.092149523,-372.4553833,107.6230698,-19.47407913,26.25860977,-4.136138439,-8.280046463,-8.038028717,-8.195723534,-20.12885666,-1.226680636,-18.9603672,-3.138298988,-3.279735088,-12.60912228,-6.714982986,-3.320209742,-9.231658936,-6.293932915,-9.111667633,-2.679028273,o
o_3.mp3,0.448848337,0.040660307,1828.566654,1715.250602,3572.337693,0.107661321,-366.4882202,100.9938507,-8.939087868,12.70680428,-6.601369381,-10.04089832,-12.22511387,-1.470794439,-17.14795685,-9.568938255,-9.178534508,-10.47829533,-14.38324833,-7.47708416,-4.911939144,-5.687960148,-8.94173336,-8.309311867,-9.232070923,-4.990050793,o
o_4.mp3,0.365781546,0.035603963,1382.318385,1417.552363,2618.943401,0.073877541,-416.4819336,79.70049286,7.804897785,0.992504358,-12.53177834,-12.25170422,-4.037644863,-9.512130737,-19.609375,-8.855267525,-8.322115898,-7.449108601,-7.864970207,-8.292678833,-9.276180267,-5.438519955,-10.42280865,-6.105498314,-4.71911478,-6.734214783,o
o_5.mp3,0.511269569,0.008055571,991.5545568,1312.825589,1783.928001,0.036288175,-537.5689087,157.4539795,6.069560051,30.31788445,-7.78524065,13.64455795,-3.982679844,-0.927112699,21.08950424,-1.096899033,4.901272774,5.393772125,1.39117527,7.223459721,12.78722668,4.242144108,2.056461811,3.777615309,-2.109647751,0.577990711,o
o_6.mp3,0.470412731,0.149142638,1251.988883,1479.782343,2306.651569,0.066368366,-206.5906067,136.5784912,-19.16947556,16.43906403,-9.354381561,-2.158120155,-3.838748455,3.472681522,-2.04566741,0.871292591,-3.030663967,-0.669820189,-2.593302011,-3.157980442,-7.915657997,-5.393902779,-5.201400757,-5.670023918,-7.801906586,-2.89575386,o
o_7.mp3,0.337633312,0.122966938,1312.919005,1364.700267,2587.744141,0.070560516,-269.3768616,152.8079224,-15.09309196,22.93588257,-25.08996773,-36.88292313,5.447712898,-12.94071293,-30.94296837,-4.643685341,-15.43288422,-4.786297798,-2.029911041,-14.80588818,-0.262636989,-2.895014286,-8.99625206,-10.7482481,-17.06769753,-15.76027107,o
2020_05_17_19_07_05.mp3,0.561854362,0.046692032,973.5329157,1260.034167,1823.759766,0.038736979,-399.5670776,140.8739624,19.3337822,33.15948105,-15.0592823,13.4221983,-0.427009314,6.034031391,8.579066277,-5.363284111,5.390548229,4.5761199,4.348296165,-0.865248084,9.070168495,0.636877894,-2.487234592,2.507835388,-2.426537514,1.881567359,i
i_1.mp3,0.384515405,0.034799464,1376.040738,1407.970083,2659.23959,0.076489006,-387.2928772,99.18386841,-2.322368622,12.17629242,6.560478687,-5.299781799,-17.39968681,-15.74662495,-19.22909546,-3.349932194,-9.786313057,-6.53933382,-7.080733776,-7.627990246,-8.170116425,-3.382433414,-5.314903259,-4.993848801,-5.543518066,-8.661739349,i
i_2.mp3,0.377207071,0.036435671,1771.248962,1792.614027,3436.409349,0.083491399,-390.9410706,71.92533112,-1.171066165,20.37701416,2.460394144,-2.95015955,-0.046992596,-8.236419678,-24.62885666,-10.02902794,-18.62804413,-14.06950951,-12.69364262,-7.99430275,-9.854456902,-0.439056903,-10.4222765,0.596945047,-13.43116188,-7.785543442,i
